PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS,LATITUDE,LONGITUDE
Condo/Co-op,48 Sanborn Ave #2,Boston,MA,2132,639900,2,2,West Roxbury,1220,5500,1930,7,525,207,http://www.redfin.com/MA/West-Roxbury/48-Sanborn-Ave-02132/unit-2/home/144111419,72895448,42.2806295,-71.1646483
Townhouse,12 Walnut St #5,Boston,MA,2108,874999,1,1,Beacon Hill,764,,1860,7,1145,474,http://www.redfin.com/MA/Boston/12-Walnut-St-02108/unit-5/home/9259084,72895438,42.357893,-71.0660659
Single Family Residential,15 Trescott St,Boston,MA,2125,1425000,5,3,Dorchester,3660,4000,1895,7,389,,http://www.redfin.com/MA/Dorchester/15-Trescott-St-02125/home/11505118,72895426,42.3159613,-71.0604784
Townhouse,115 F St #1,Boston,MA,2127,799990,2,2,South Boston,1357,1357,1890,7,590,150,http://www.redfin.com/MA/Boston/115-F-St-02127/unit-1/home/9309321,72895420,42.3361025,-71.0483259
Condo/Co-op,55-57 Story St #2,Boston,MA,2127,549000,2,1,South Boston,655,655,1920,7,838,175,http://www.redfin.com/MA/Boston/55-Story-St-02127/unit-2/home/12440000,72895404,42.3333027,-71.0421741
Condo/Co-op,36 Washington St Unit 2A,Boston,MA,2129,519000,1,1,Charlestown,550,,1900,7,944,386,http://www.redfin.com/MA/Boston/36-Washington-St-02129/unit-2A/home/9057830,72895392,42.372849,-71.064797
Condo/Co-op,111 Perkins St #032,Boston,MA,2130,449000,2,1,Jamaica Plain,1134,,1963,7,396,1278,http://www.redfin.com/MA/Jamaica-Plain/111-Perkins-St-02130/unit-032/home/137593683,72895361,42.3222155,-71.1159742
Single Family Residential,15 Burrwood Rd,Boston,MA,2132,699900,3,1.5,West Roxbury,1412,5000,1945,7,496,,http://www.redfin.com/MA/West-Roxbury/15-Burrwood-Rd-02132/home/11507402,72895358,42.2937764,-71.1424611
Condo/Co-op,106 13th St #314,Boston,MA,2129,659000,2,2,Charlestown's Navy Yard,1078,,1920,7,611,1012,http://www.redfin.com/MA/Boston/106-13th-St-02129/unit-314/home/9051186,72895355,42.3772497,-71.0511388
Multi-Family (2-4 Unit),79 Homer St,Boston,MA,2128,924999,6,3,Boston,3267,3800,1910,7,283,,http://www.redfin.com/MA/Boston/79-Homer-St-02128/home/9111096,72895332,42.3816675,-71.0162307
Multi-Family (2-4 Unit),84-86 Raymond St,Boston,MA,2134,989900,4,2,Allston,1920,1770,1890,7,516,,http://www.redfin.com/MA/Boston/84-Raymond-St-02134/home/8990374,72895309,42.3613821,-71.1320253
Multi-Family (2-4 Unit),784 Centre St,Boston,MA,2130,999999,4,2,Jamaica Plain,2392,3500,1928,7,418,,http://www.redfin.com/MA/Jamaica-Plain/784-Centre-St-02130/home/9148241,72895306,42.3089771,-71.1164661
Multi-Family (2-4 Unit),73 Barry St,Boston,MA,2125,787623,6,3,Dorchester,2736,2700,1900,7,288,,http://www.redfin.com/MA/Dorchester/73-Barry-St-02125/home/11504791,72895299,42.3078589,-71.0698103
Condo/Co-op,15 River St #706,Boston,MA,2108,699000,1,1,Beacon Hill,519,519,1900,7,1347,995,http://www.redfin.com/MA/Boston/15-River-St-02108/unit-706/home/17120710,72895300,42.3566437,-71.069989
Condo/Co-op,38-40 Saint Botolph St Unit B3,Boston,MA,2116,649000,1,1,Back Bay,634,,1925,7,1024,419,http://www.redfin.com/MA/Boston/40-Saint-Botolph-St-02116/unit-B-3/home/176381317,72895296,42.3462104,-71.0789031
Single Family Residential,31 Braeburn Rd,Boston,MA,2136,529000,3,1.5,Golf Course area,1179,5000,1940,7,449,,http://www.redfin.com/MA/Boston/31-Braeburn-Rd-02136/home/9135539,72895297,42.2609399,-71.1274097
Single Family Residential,137 W Canton St,Boston,MA,2118,3975000,6,3,South End,3566,1098,1890,7,1115,,http://www.redfin.com/MA/Boston/137-W-Canton-St-02118/home/9253083,72895292,42.3427913,-71.0747663
Parking,404R - 6 K St,Boston,MA,2127,160000,,,South Boston,,500,,7,,65,http://www.redfin.com/MA/Boston/6-K-St-02127/home/176381255,72895284,42.3397072,-71.0374601
Condo/Co-op,1218 VFW Pkwy #60,Boston,MA,2132,500000,2,2,West Roxbury,1098,,1986,7,455,402,http://www.redfin.com/MA/West-Roxbury/1218-VFW-Pkwy-02132/unit-60/home/9201340,72895277,42.2789235,-71.170962
Condo/Co-op,225 Shawmut Ave Unit B,Boston,MA,2118,2100000,3,2,South End,1626,1626,2000,7,1292,584,http://www.redfin.com/MA/Boston/225-Shawmut-Ave-02118/unit-B/home/176381146,72895271,42.344039,-71.067664
Condo/Co-op,37 Wachusett St #2,Boston,MA,2130,529000,2,1,Jamaica Plain,893,893,1905,7,592,250,http://www.redfin.com/MA/Boston/37-Wachusett-St-02130/unit-2/home/9323647,72895268,42.2966138,-71.1132631
Condo/Co-op,234 Causeway St #903,Boston,MA,2114,1099000,2,1,Boston,1180,1180,1899,7,931,1067,http://www.redfin.com/MA/Boston/234-Causeway-St-02114/unit-903/home/9319926,72895260,42.3666816,-71.0592256
Condo/Co-op,100 Shawmut Ave Unit 412,Boston,MA,2118,846900,1,1,South End,623,,2021,7,1359,576,http://www.redfin.com/MA/Boston/100-Shawmut-Ave-02118/unit-412/home/176381039,72895247,42.3466841,-71.0656551
Condo/Co-op,83 Green St #1,Boston,MA,2129,749000,3,1,Charlestown,1020,,1920,7,734,110,http://www.redfin.com/MA/Charlestown/83-Green-St-02129/unit-1/home/9061164,72895242,42.3785336,-71.0621034
Condo/Co-op,145 Bennington St #312,Revere,MA,2151,309900,1,1,Beachmont,615,,2007,7,504,311,http://www.redfin.com/MA/Revere/145-Bennington-St-02151/unit-312/home/18960883,72895238,42.3943026,-70.9941979
Condo/Co-op,50-56 Broadlawn Park #416,Boston,MA,2467,499000,2,2,West Roxbury's Chestnut Hill,1165,1165,1974,7,428,727,http://www.redfin.com/MA/Chestnut-Hill/50-56-Broadlawn-Park-02467/unit-416/home/138430717,72895226,42.3023918,-71.1639988
Multi-Family (2-4 Unit),1400 Columbia Rd,Boston,MA,2127,2999000,7,4,South Boston,3290,4516,2003,7,912,,http://www.redfin.com/MA/Boston/1400-Columbia-Rd-02127/home/9195080,72894567,42.3306686,-71.0439021
Single Family Residential,11 Cotuit St,Boston,MA,2132,549900,2,1,West Roxbury,1000,4038,1920,7,550,,http://www.redfin.com/MA/West-Roxbury/11-Cotuit-St-02132/home/9216542,72895195,42.2834264,-71.1701717
Condo/Co-op,175 CLARE Ave Unit D2,Boston,MA,2136,319900,2,1,Hyde Park,785,785,1960,7,408,450,http://www.redfin.com/MA/Hyde-Park/175-Clare-Ave-02136/unit-D2/home/9136241,72895185,42.2719832,-71.1193674
Single Family Residential,111 Arlington St,Boston,MA,2135,929000,3,1.5,Brighton,1501,5775,1900,7,619,,http://www.redfin.com/MA/Brighton/111-Arlington-St-02135/home/9021566,72895181,42.3528381,-71.1570361
Condo/Co-op,100 Lovejoy Wharf Unit 5C,Boston,MA,2114,1425000,2,2,Waterfront,1244,,2017,7,1145,1297,http://www.redfin.com/MA/Boston/100-Lovejoy-Wharf-02114/unit-5C/home/160698711,72895172,42.3671655,-71.0595267
Condo/Co-op,80 Summer St #2,Boston,MA,2210,1650000,3,3.5,Midtown,2262,,1910,7,729,450,http://www.redfin.com/MA/Boston/80-Summer-St-02110/unit-2/home/144386916,72895116,42.3540141,-71.0581003
Condo/Co-op,29 Gibson St Unit 2L,Boston,MA,2122,349900,2,1,Dorchester's Fields Corner,726,,1910,7,482,300,http://www.redfin.com/MA/Dorchester/29-Gibson-St-02122/unit-2L/home/12431828,72895102,42.2973751,-71.0595499
Condo/Co-op,112 Pinckney #11,Boston,MA,2114,725000,1,1,Beacon Hill,703,,1910,7,1031,377,http://www.redfin.com/MA/Boston/112-Pinckney-St-02114/unit-11/home/9255395,72895096,42.3586758,-71.0720444
Condo/Co-op,615 Tremont St #1,Boston,MA,2118,3250000,4,3,South End,2300,,2017,7,1413,473,http://www.redfin.com/MA/Boston/615-Tremont-St-02118/unit-1/home/167702004,72895086,42.3428385,-71.0742639
Condo/Co-op,152 Old Colony Ave #7,Boston,MA,2127,749000,2,2,Boston,1105,,2006,7,678,328,http://www.redfin.com/MA/Boston/152-Old-Colony-Ave-02127/unit-7/home/12519058,72895085,42.3346681,-71.0546518
Single Family Residential,355 Metropolitan Ave,Boston,MA,2131,875000,4,1.5,Roslindale,2058,11935,1934,7,425,,http://www.redfin.com/MA/Boston/355-Metropolitan-Ave-02131/home/11507831,72895084,42.273216,-71.1236613
Condo/Co-op,115 Union St #115,Boston,MA,2135,999000,3,2.5,Brighton,2096,2096,2008,7,477,303,http://www.redfin.com/MA/Brighton/115-Union-St-02135/unit-115/home/28857466,72895068,42.346318,-71.152525
Condo/Co-op,46 Riverdale St #3,Boston,MA,2134,499000,2,1,Allston,742,742,1920,7,673,63,http://www.redfin.com/MA/Boston/46-Riverdale-St-02134/unit-3/home/8990478,72895066,42.3621707,-71.1324927
Multi-Family (2-4 Unit),308-310 Faneuil St,Boston,MA,2135,1349000,8,3,Brighton,3490,4089,1902,7,387,,http://www.redfin.com/MA/Boston/308-Faneuil-St-02135/home/9034969,72895044,42.3522169,-71.1630957
